,old_name,modern_name,type_of_rule,modern_country,wikipage,wikibase,description,instance_of,inception,dissolved,religion,geoLoc,capital
0,Aargau,Aargau,['Grafschaft'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fc73510>,Q11972,canton of Switzerland,canton of Switzerland,+1803-00-00T00:00:00Z,,,"(8.11, 47.418)",Aarau
1,Abenberg,Abenberg,['Grafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fc84d50>,Q261822,municipality of Germany,urban municipality of Germany,,,,"(10.961944444444445, 49.24055555555555)",
2,Abenberg (Adelsgeschlecht),Abenberg,['Reichsritter'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fc84d90>,Q318805,noble family,noble family,,,,,
3,Abtei Neresheim,Neresheim,['Reichsabtei'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fc84b90>,Q334064,abbey in Germany,abbey,+1095-01-01T00:00:00Z,+1802-01-01T00:00:00Z,Catholicism,"(10.3437, 48.7559)",
4,Abtei Prüm,Prüm,['Fürstabtei'],"['DE-RP', 'FR', 'BE', 'NL', 'LU']",<wptools.page.WPToolsPage object at 0x7f2a2fc96990>,Q334114,abbey,abbey,+0721-00-00T00:00:00Z,+1576-00-00T00:00:00Z,Catholicism,"(6.4258333333333, 50.206388888889)",
5,Abtei Saint-Maurice,Saint-Maurice,['Territorialabtei'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fc96ad0>,Q334174,6th century monastery in Switzerland,territorial abbey,+0501-01-17T00:00:00Z,,Catholicism,"(7.0033333333333, 46.219444444444)",
6,Abtei St. Michael (Siegburg),Sankt Michael zu Siegburg,['Reichsabtei'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fc961d0>,Q317097,abbey,abbey,+1512-01-01T00:00:00Z,+1803-01-01T00:00:00Z,Catholicism,"(7.21092, 50.7957)",
7,Abtei Weingarten,Weingarten,['Reichsstift'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fc960d0>,Q334353,abbey,abbey,+1274-01-01T00:00:00Z,+1803-01-01T00:00:00Z,Catholicism,"(9.64448, 47.80885)",Weingarten
8,Altes Schloss (Gaildorf),Limpurg-Gaildorf,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fc96dd0>,Q439534,"building in Gaildorf, Stuttgart Government Region, Bade-Württemberg, Germany",Schloss,,,,"(9.77039, 49.0008)",
9,Amt Ahaus,Ahaus,['Amt'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fc96250>,Q74425290,,,,,,,
10,Amt Daun (Kurtrier),Daun,"['Amt (Kommunalrecht)', 'Amt']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2fc9af90>,Q66309586,,,,,,,
11,Anhalt,Anhalt,['Grafschaft'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f2a2fc9abd0>,Q155578,"region in Central Germany, former state of the German Reich",historical region,+1806-01-01T00:00:00Z,+1918-01-01T00:00:00Z,,"(12.25, 51.833333)",Dessau
12,Anhalt-Aschersleben,Anhalt-Aschersleben,['Grafschaft'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f2a2fc9acd0>,Q545029,countship,countship,+1252-01-01T00:00:00Z,+1315-01-01T00:00:00Z,,"(11.456, 51.7066)",Aschersleben
13,Anhalt-Bernburg,Anhalt-Bernburg,['Grafschaft'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f2a2fc9af10>,Q686965,former country,historical country,+1252-01-01T00:00:00Z,+1863-01-01T00:00:00Z,,"(11.7425, 51.793611)",Bernburg
14,Anhalt-Dessau,Anhalt-Dessau,['Grafschaft'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f2a2fc9ab50>,Q278874,principality of the Holy Roman Empire and later a duchy of the German Confederation,state in the Confederation of the Rhine,+1396-01-01T00:00:00Z,+1853-01-01T00:00:00Z,,"(12.24233, 51.82138)",Dessau
15,Anhalt-Köthen,Anhalt-Köthen,['Fürstentum'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f2a2fca0cd0>,Q264970,German Territory,principality,+1396-01-01T00:00:00Z,+1863-01-01T00:00:00Z,,"(11.966667, 51.75)",
16,Anholt,Anholt,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fca0910>,Q545414,human settlement in Germany,Ortsteil,,,,"(6.4261111111111, 51.850555555556)",
17,Artois,Artois,['Grafschaft'],['FR'],<wptools.page.WPToolsPage object at 0x7f2a2fca0350>,Q159987,former province of France,historical province of France,+1659-00-00T00:00:00Z,+1790-00-00T00:00:00Z,,"(2.5, 50.5)",Arras
18,Bad Buchau,Buchau,['Reichsstadt'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fca0f90>,Q496489,"town in Baden-Württemberg, Germany",spa town,,,,"(9.61, 48.066111111111)",
19,Bad Wimpfen#Reichsstadt Wimpfen,Wimpfen,"['Freie Reichsstadt', 'Reichsstadt']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fc25fd0>,Q491535,municipality in Germany,town,+1300-01-01T00:00:00Z,,,"(9.1630555555556, 49.230555555556)",
20,Bad Windsheim#Reichsstadt Windsheim,Windsheim,"['Freie Reichsstadt', 'Reichsstadt']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fca0bd0>,Q132278,"municipality in Bavaria, Germany",urban municipality of Germany,+1248-01-01T00:00:00Z,,,"(10.416666666666666, 49.5)",
21,Bartenstein (Schrozberg),Hohenlohe-Waldenburg-Bartenstein,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fc29fd0>,Q809254,"quarter of Schrozberg, Baden-Württemberg, Germany",Ortsteil,,,,"(9.88889, 49.3556)",
22,Basel,Basel,"['Freie Reichsstadt', 'Reichsstadt']",['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fc29950>,Q78,"city on the Rhine, in Switzerland",municipality of Switzerland,,,,"(7.5905555555556, 47.560555555556)",
23,Bauernrepublik Dithmarschen,Dithmarschen,['Bauernrepublik'],['DE-SH'],<wptools.page.WPToolsPage object at 0x7f2a2fc2ff90>,Q149861,landscape,landscape,,,,,
24,Bergweiler,Bergweiler,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2fc29d10>,Q659831,municipality of Germany,municipality of Germany,,,,"(6.8252777777778, 49.966666666667)",
25,Besançon,Besançon,['Freie Reichsstadt'],['FR'],<wptools.page.WPToolsPage object at 0x7f2a2fc29dd0>,Q37776,"commune in Doubs, France",commune of France,,,,"(6.0213888888889, 47.242222222222)",
26,Biberach an der Riß#Reichsstadt,Biberach,"['Freie Reichsstadt', 'Reichsstadt']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fc35410>,Q16069,town and district capital in the Upper Swabia region of the German state of Baden-Württemberg,district capital,+1281-01-01T00:00:00Z,,,"(9.7886111111111, 48.098055555556)",
27,Biel/Bienne,Biel/Bienne,['Zugewandter Ort'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fc3df90>,Q1034,Swiss city in the Biel administrative district within the canton of Bern,municipality of Switzerland,,,,"(7.2472222222222, 47.137222222222)",
28,Bistum,Bistum,"['Bistum Lebus', 'Lebus']","['DE-BB', 'PL']",<wptools.page.WPToolsPage object at 0x7f2a2fc3de90>,Q665487,Christian district or see under the supervision of a bishop,,,,,,
29,Bistum Cammin,Cammin,['Hochstift'],['PL'],<wptools.page.WPToolsPage object at 0x7f2a2fc3d2d0>,Q247175,,diocese of the Catholic Church,+1248-00-00T00:00:00Z,+1650-01-01T00:00:00Z,Catholic Church,"(14.772693, 53.973206)",Wolin
30,Bistum Chiemsee,Chiemsee,['Hochstift'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fc3d9d0>,Q458808,,titular see,+1216-00-00T00:00:00Z,+1803-01-01T00:00:00Z,Catholic Church,,
31,Bistum Lebus,Lebus,['Hochstift'],"['DE-BB', 'PL']",<wptools.page.WPToolsPage object at 0x7f2a2fc3dc10>,Q565463,,diocese of the Catholic Church,+1248-00-00T00:00:00Z,+1555-00-00T00:00:00Z,Catholic Church,,Lebus
32,Bitburg,Bitburg,"['Propstei (Luxemburg)', 'Propstei']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2fc3df10>,Q258974,municipality in Germany,urban municipality of Germany,,,,"(6.5255555555556, 49.974722222222)",
33,Bopfingen#Zeit als Reichsstadt,Bopfingen,['Reichsstadt'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fc47990>,Q628178,town in Germany,town,,,,"(10.352222222222, 48.856944444444)",
34,Breda,Breda,['Herrschaft'],['NL'],<wptools.page.WPToolsPage object at 0x7f2a2fc47b90>,Q40844,"city in the municipality of Breda, North Brabant, Netherlands",city,,,,"(4.7833333333333, 51.583333333333)",
35,Bremen (Territorium),Bremen,['Erzstift'],"['DE-NI', 'DE-HB']",<wptools.page.WPToolsPage object at 0x7f2a2fc49dd0>,Q837128,,архиепископство,+0787-01-01T00:00:00Z,+1648-01-01T00:00:00Z,,,
36,Bremen-Verden,Bremen-Verden,['Herzogtum'],['DE-NI'],<wptools.page.WPToolsPage object at 0x7f2a2fc49f10>,Q694594,,state in the Holy Roman Empire,+1648-01-01T00:00:00Z,+1823-01-01T00:00:00Z,Lutheranism,"(9.47638889, 53.60083333)",Stade
37,Buchhorn,Buchhorn,['Reichsstadt'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fc49d50>,Q998529,,free imperial city,,,,"(9.4791, 47.6546)",
38,Burg Wettin,Wettin,['Grafschaft'],['DE'],<wptools.page.WPToolsPage object at 0x7f2a2fc49a90>,Q451181,castle,castle,+0900-01-01T00:00:00Z,,,"(11.8106, 51.5831)",
39,Burggrafen von Kirchberg,Kirchberg,['Burggrafschaft'],['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2fc51f90>,Q1014952,noble family,noble family,,,,,
40,Burggrafschaft Dohna,Dohna,['Burggrafschaft'],['DE-SN'],<wptools.page.WPToolsPage object at 0x7f2a2fc47610>,Q521714,noble family,noble family,,,,,
41,Burggrafschaft Friedberg,Friedberg,['Burggraf'],['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2fc51e50>,Q1014964,countship,countship,,,,,
42,Burggrafschaft Meißen,Meißen,['Burggrafschaft'],['DE-SN'],<wptools.page.WPToolsPage object at 0x7f2a2fc51c10>,Q835561,Wikimedia list article,Wikimedia list article,,,,,
43,Burggrafschaft Nürnberg,Nürnberg,['Burggrafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fc51d10>,Q568473,,historical country,+1105-01-01T00:00:00Z,+1440-01-01T00:00:00Z,,,
44,Burggrafschaft Rheineck,Rheineck,['Burggrafschaft'],['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2fc51190>,Q1014972,countship,countship,,,,"(7.31306, 50.49583)",
45,Burgundische Niederlande,Burgundische Niederlande,,"['NL', 'BE', 'LU', 'FR']",<wptools.page.WPToolsPage object at 0x7f2a2fc51350>,Q157109,the Netherlands from 1384 to 1482,personal union,+1384-01-01T00:00:00Z,+1482-01-01T00:00:00Z,Catholic Church,,Brussels
46,Colmar,Colmar,"['Freie Reichsstadt', 'Reichsstadt']",['FR'],<wptools.page.WPToolsPage object at 0x7f2a2fc51bd0>,Q130994,"commune in Haut-Rhin, France",commune of France,+1226-01-01T00:00:00Z,,,"(7.355, 48.081111111111)",
47,Comburg,Comburg,"['Stift (Kirche)', 'Ritterstift']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fc569d0>,Q561890,"former monastery in Schwaebisch Hall, Baden-Wuerttemberg in Germany",abbey,+1001-01-17T00:00:00Z,+1802-01-01T00:00:00Z,,"(9.749722, 49.100278)",
48,Damenstift Buchau,Buchau,['Reichsstift'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fc51790>,Q468153,,monastery,+1347-01-01T00:00:00Z,+1803-01-01T00:00:00Z,,"(9.6116, 48.0675)",
49,Deutschordensballei Schwaben-Elsass-Burgund,Elsass und Burgund,['Ballei'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fc51250>,Q587783,,bailiwick,,,,,
50,Deutschordenskommende Koblenz,Koblenz,['Ballei'],['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2fc51fd0>,Q1206453,,bailiwick,,,,"(7.605, 50.3628)",
51,Diözese Graz-Seckau,Seckau,['Bistum'],['AT'],<wptools.page.WPToolsPage object at 0x7f2a2fc56a10>,Q259933,diocese of the Catholic Church,diocese of the Catholic Church,+1201-01-01T00:00:00Z,,Catholic Church,"(15.442222222222, 47.071944444444)",
52,Diözese Gurk,Gurk,['Bistum'],['AT'],<wptools.page.WPToolsPage object at 0x7f2a2fc5dad0>,Q254887,diocese of the Catholic Church,diocese of the Catholic Church,,,Catholic Church,,
53,Diözese Lavant,Lavant,['Bistum'],['AT'],<wptools.page.WPToolsPage object at 0x7f2a2fc5de10>,Q5257520,bishopric suffragan of the Prince-archbishop of Salzburg,former Roman Catholic diocese,,,,,
54,Donauwörth,Donauwörth,"['Freie Reichsstadt', 'Reichsstadt']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fc5d4d0>,Q53742,"town in Bavaria, Germany",big district town,,,,"(10.776988888888889, 48.71843055555556)",
55,Drei Bünde,Drei Bünde,"['Freistaat (Republik)', 'Freistaat']","['CH', 'IT']",<wptools.page.WPToolsPage object at 0x7f2a2fbe2fd0>,Q672685,,confederation,+1524-01-01T00:00:00Z,+1798-01-01T00:00:00Z,,,
56,Duisburg,Duisburg,"['Freie Reichsstadt', 'Reichsstadt']",['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fc5db50>,Q2100,"city in North Rhine-Westphalia, Germany",big city,,,,"(6.7611111111111, 51.432222222222)",
57,Dänemark,Dänemark,,,<wptools.page.WPToolsPage object at 0x7f2a2fbe26d0>,Q35,country in northern Europe,state,+0800-00-00T00:00:00Z,,,"(10, 56)",Copenhagen
58,Egerland,Egerland,,['CZ'],<wptools.page.WPToolsPage object at 0x7f2a2fbeac90>,Q782304,part of Czech Republic,historical region,+1135-00-00T00:00:00Z,+1721-00-00T00:00:00Z,,"(12.3739219, 50.0796347)",
59,Eglofs (Argenbühl),Eglofs,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fbe2f50>,Q1298167,"quarter of Argenbühl, Baden-Württemberg, Germany",Ortsteil,,,,"(9.932156, 47.662613)",
60,Eichsfeld,Eichsfeld,"['Fürstentum Eichsfeld', 'Fürstentum']",['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2fc5dc50>,Q7333847,"historical region in Lower Saxony and Thuringia, in the Harz mountains",geographic region,,,,"(10.25, 51.33)",
61,Elsen (Grevenbroich)#Deutschordensherrschaft,Elsen,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-NW'],<wptools.page.WPToolsPage object at 0x7f2a2fbf22d0>,Q1333768,human settlement in Germany,Ortsteil,,,,"(6.56639, 51.0911)",
62,England,England,,,<wptools.page.WPToolsPage object at 0x7f2a2fbf2950>,Q21,"country in north-west Europe, part of the United Kingdom",nation within the UK,,,,"(-1, 53)",London
63,Erfurter Staat,Erfurt,['Fürstentum'],['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2fbf5f90>,Q17540123,,historical country,,,,,
64,Erzbistum Besançon,Besançon,['Erzstift'],['FR'],<wptools.page.WPToolsPage object at 0x7f2a2fbf2410>,Q1364148,archdiocese,archdiocese,,,Catholicism,,
65,Erzherzogtum Österreich,Österreich,['Herzogtum'],['AT'],<wptools.page.WPToolsPage object at 0x7f2a2fbf5bd0>,Q699964,fief of the Holy Roman Empire,state in the Holy Roman Empire,+1358-01-01T00:00:00Z,+1918-00-00T00:00:00Z,Catholic Church,"(16.3667, 48.2167)",Vienna
66,Erzstift Magdeburg,Magdeburg,['Erzstift'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f2a2fbf2a90>,Q636389,,архиепископство,+1180-01-01T00:00:00Z,+1680-01-01T00:00:00Z,,"(11.96666667, 51.46666667)",Magdeburg
67,Erzstift Mainz,Mainz,['Erzstift'],"['DE-RP', 'DE-HE', 'DE-BY', 'DE-TH']",<wptools.page.WPToolsPage object at 0x7f2a2fbf9f50>,Q284667,archdiocese,ecclesiastical principality,+0780-01-01T00:00:00Z,+1803-01-01T00:00:00Z,,,Mainz
68,Esslingen am Neckar,Esslingen am Neckar,"['Freie Reichsstadt', 'Reichsstadt']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f2a2fbf98d0>,Q3786,"city in the Stuttgart Region of Baden-Württemberg, Germany",urban municipality of Germany,,,,"(9.3108333333333, 48.740555555556)",
69,Feuchtwangen#Reichsstadt und beide Gemeinwesen,Feuchtwangen,['Reichsstadt'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fbf9c50>,Q502418,town in Germany,urban municipality of Germany,,,,"(10.316666666666666, 49.166666666666664)",
70,Frankreich,Frankreich,,,<wptools.page.WPToolsPage object at 0x7f2a2fbfcf90>,Q142,country in Western Europe,sovereign state,+0463-00-00T00:00:00Z,,,"(2, 47)",Paris
71,Freiburg im Üechtland#Mittelalter,Freiburg im Üechtland,"['Freie Reichsstadt', 'Reichsstadt']",['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fbfce50>,Q36378,capital of the canton of Fribourg in Switzerland,municipality of Switzerland,+1157-00-00T00:00:00Z,,,"(7.15, 46.8)",
72,Freie Reichsstadt Mühlhausen,Mühlhausen,"['Freie Reichsstadt', 'Reichsstadt']",['DE-TH'],<wptools.page.WPToolsPage object at 0x7f2a2fc03f90>,Q17353855,,free imperial city,,,,,Mühlhausen
73,Freie Stadt Mainz,Mainz,['Freie Stadt'],['DE-RP'],<wptools.page.WPToolsPage object at 0x7f2a2fbf9490>,Q1454024,,,,,,"(8.27111111, 50)",
74,Freigrafschaft Burgund,Burgund,['Pfalzgrafschaft'],['FR'],<wptools.page.WPToolsPage object at 0x7f2a2fbf9d90>,Q16394,former administrative region in France,former French region,,,,"(6, 47)",Besançon
75,Friedberg (Hessen),Friedberg,"['Freie Reichsstadt', 'Reichsstadt']",['DE-HE'],<wptools.page.WPToolsPage object at 0x7f2a2fc06d90>,Q516485,"seat of Wetteraukreis and town in Hesse, Germany",district capital,,,,"(8.755, 50.335277777778)",
76,Friesland,Friesland,"['Gliedstaat', 'Land']",['NL'],<wptools.page.WPToolsPage object at 0x7f2a2fc06e10>,Q4492881,coastal region on the North Sea in the Netherlands and Germany formerly a historic region with its own language,geographic region,,,,,
77,Fränkischer Kreis (Kurfürstentum Sachsen),Fränkischer Kreis im Kurfürstentum Sachsen,,"['DE-BY', 'DE-TH']",<wptools.page.WPToolsPage object at 0x7f2a2fc06e50>,Q15810857,,,,,,,
78,Fugger,Fugger,['Grafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fc06f10>,Q155834,Augsburg based family of European bankers,noble family,+1507-00-00T00:00:00Z,+1806-00-00T00:00:00Z,,,
79,Fénétrange,Finstingen,"['Herrschaft (Territorium)', 'Herrschaft']",['FR'],<wptools.page.WPToolsPage object at 0x7f2a2fc06fd0>,Q22330,"commune in Moselle, France",commune of France,,,,"(7.0197222222222, 48.845555555556)",
80,Fürstabtei St. Gallen,Sankt Gallen,['Reichsabtei'],['CH'],<wptools.page.WPToolsPage object at 0x7f2a2fc09d50>,Q155699,abbey,benedictine abbey,+1207-01-01T00:00:00Z,+1798-01-01T00:00:00Z,,"(9.3772222222222, 47.423055555556)",
81,Fürstentum Anhalt-Harzgerode,Anhalt-Harzgerode,['Fürstentum'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f2a2fc09610>,Q1157118,principality,principality,+1635-01-01T00:00:00Z,+1709-01-01T00:00:00Z,,"(11.144167, 51.642222)",Harzgerode
82,Fürstentum Anhalt-Zerbst,Anhalt-Zerbst,['Fürstentum'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f2a2fc0df50>,Q706152,,principality,+1252-01-01T00:00:00Z,+1796-01-01T00:00:00Z,,"(12.084444, 51.968056)",Zerbst
83,Fürstentum Ansbach,Brandenburg-Ansbach,['Markgrafschaft'],"['DE-BY', 'DE-BW']",<wptools.page.WPToolsPage object at 0x7f2a2fc09110>,Q42199,"State of the Holy Roman Empire, in the Franconian Circle",principality,+1398-01-01T00:00:00Z,+1792-01-01T00:00:00Z,,,Ansbach
84,Fürstentum Ansbach,Ansbach,"['Markgrafschaft#Markgraftum', 'Markgraftum']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fc0dc50>,Q42199,"State of the Holy Roman Empire, in the Franconian Circle",principality,+1398-01-01T00:00:00Z,+1792-01-01T00:00:00Z,,,Ansbach
85,Fürstentum Aschaffenburg,Aschaffenburg,['Fürstentum'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fc0d8d0>,Q569202,principality,principality,+1803-01-01T00:00:00Z,+1810-01-01T00:00:00Z,,,Aschaffenburg
86,Fürstentum Bayreuth,Brandenburg-Kulmbach,['Markgrafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fc0de50>,Q34762,principality,principality,+1398-01-01T00:00:00Z,+1791-01-01T00:00:00Z,,,Kulmbach
87,Fürstentum Bayreuth,Brandenburg-Bayreuth,['Markgrafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fc17fd0>,Q34762,principality,principality,+1398-01-01T00:00:00Z,+1791-01-01T00:00:00Z,,,Kulmbach
88,Fürstentum Bayreuth,Bayreuth,"['Markgrafschaft#Markgraftum', 'Markgraftum']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f2a2fc09e50>,Q34762,principality,principality,+1398-01-01T00:00:00Z,+1791-01-01T00:00:00Z,,,Kulmbach
89,Fürstentum Braunschweig-Wolfenbüttel,Braunschweig-Wolfenbüttel,['Fürstentum'],"['DE-NI', 'DE-ST']",<wptools.page.WPToolsPage object at 0x7f2a2fc17ed0>,Q830084,principality,principality,+1269-01-01T00:00:00Z,+1815-01-01T00:00:00Z,,,Wolfenbüttel
