,old_name,modern_name,type_of_rule,modern_country,wikipage,infobox,infobox_keys,description,instance_of,inception,dissolved,religion,geoLoc,capital
0,Aargau,Aargau,['Grafschaft'],['CH'],<wptools.page.WPToolsPage object at 0x7f959f4c8950>,True,"['name', 'abkürzung', 'wappen', 'wappen_name', 'sprache', 'hauptort', 'beitrittsjahr', 'fläche', 'fläche_rang', 'einwohner_rang', 'dichte_rang', 'lage', 'karte', 'gemeinden', 'website']",,,,,,"(nan, nan)",
1,Abenberg,Abenberg,['Grafschaft'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f959f4c8750>,True,"['art', 'wappen', 'breitengrad', 'längengrad', 'lageplan', 'bundesland', 'regierungsbezirk', 'landkreis', 'höhe', 'plz', 'vorwahl', 'gemeindeschlüssel', 'locode', 'gliederung', 'straße', 'website', 'bürgermeister', 'bürgermeistertitel', 'partei']",,,,,,"('10/57/40/E', '49/14/33/N')",
2,Abenberg (Adelsgeschlecht),Abenberg,['Reichsritter'],['DE-BY'],<wptools.page.WPToolsPage object at 0x7f959f4d4f50>,False,[nan],,,,,,"(nan, nan)",
3,Abtei Neresheim,Neresheim,['Reichsabtei'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f959f4c8c10>,False,[nan],,,,,,"(nan, nan)",
4,Abtei Prüm,Prüm,['Fürstabtei'],"['DE-RP', 'FR', 'BE', 'NL', 'LU']",<wptools.page.WPToolsPage object at 0x7f959f4d4c10>,True,"['name', 'wappen', 'staatsoberhaupt', 'region-iso', 'reichsmatrikel', 'reichskreis', 'kreistag', 'hauptstädte/residenzen', 'konfession/religion', 'nachfolger']",,,,1576: [[Kurtrier]],[[römisch-katholisch]],"(nan, nan)",[[Prüm]]
5,Abtei Saint-Maurice,Saint-Maurice,['Territorialabtei'],['CH'],<wptools.page.WPToolsPage object at 0x7f959f4d4e90>,True,"['staat', 'kirchenprovinz', 'abt', 'generalvikar', 'fläche', 'stand', 'pfarreien', 'einwohner', 'katholiken', 'ordenspriester', 'ordensbrüder', 'ordensschwestern', 'ritus', 'liturgiesprache', 'kathedrale', 'anschrift', 'website']",,,,,,"(nan, nan)",
6,Abtei St. Michael (Siegburg),Sankt Michael zu Siegburg,['Reichsabtei'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f959f4e2f90>,True,"['name', 'wappen', 'vorläufer', 'regierungsform', 'staatsoberhaupt', 'region-iso', 'reichskreis', 'kreistag', 'hauptstädte/residenzen', 'konfession/religion', 'sprache/n', 'nachfolger']",,,[[Auelgau]],1676: [[Herzogtum Jülich-Berg|Jülich-Berg]],[[Römisch-katholische Kirche|römisch-katholisch]],"(nan, nan)",[[Siegburg]]
7,Abtei Weingarten,Weingarten,['Reichsstift'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f959f4d4b10>,True,"['name', 'wappen', 'karte', 'bildtext', 'alternativnamen', 'vorläufer', 'regierungsform', 'staatsoberhaupt', 'region-iso', 'reichstag', 'reichsmatrikel', 'reichskreis', 'karte reichskreis', 'kreistag', 'hauptstädte/residenzen', 'konfession/religion', 'sprache/n', 'fläche', 'einwohner', 'nachfolger']",,,gewöhnlicher [[Abtei]],1803 Fürstentum [[Nassau-Dillenburg|Nassau-Oranien-Dillenburg]]; 1806/08 Anteile an das [[Königreich Württemberg]],[[Römisch-katholische Kirche|römisch-katholisch]],"(nan, nan)",[[Weingarten]]
8,Altes Schloss (Gaildorf),Limpurg-Gaildorf,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f959f4e2b90>,False,[nan],,,,,,"(nan, nan)",
9,Amt Ahaus,Ahaus,['Amt'],['DE-NW'],<wptools.page.WPToolsPage object at 0x7f959f4c8f50>,False,[nan],,,,,,"(nan, nan)",
10,Amt Daun (Kurtrier),Daun,"['Amt (Kommunalrecht)', 'Amt']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f959f4e2f50>,False,[nan],,,,,,"(nan, nan)",
11,Anhalt,Anhalt,['Grafschaft'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f959f4e5910>,True,"['landesname', 'flagge', 'bild-flagge-rahmen', 'wappen', 'karte kaiserreich', 'karte', 'hauptstadt', 'regierungsform', 'staatsoberhaupt', 'dynastie', 'periode', 'fläche', 'einwohner', 'bevölkerungsdichte', 'vorläufer', 'nachfolger', 'hymne', 'bundesrat', 'kfz-kennzeichen']",,,,,,"(nan, nan)",
12,Anhalt-Aschersleben,Anhalt-Aschersleben,['Grafschaft'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f959f4e5d10>,False,[nan],,,,,,"(nan, nan)",
13,Anhalt-Bernburg,Anhalt-Bernburg,['Grafschaft'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f959f4e5990>,False,[nan],,,,,,"(nan, nan)",
14,Anhalt-Dessau,Anhalt-Dessau,['Grafschaft'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f959f4e5c10>,True,"['name', 'wappen', 'karte', 'bildtext', 'periode', 'vorläufer', 'regierungsform', 'staatsoberhaupt', 'region-iso', 'dynastien', 'konfession/religion', 'nachfolger']",,,,,[[Unierte Kirchen (evangelisch)|evangelisch-uniert]],"(nan, nan)",
15,Anhalt-Köthen,Anhalt-Köthen,['Fürstentum'],['DE-ST'],<wptools.page.WPToolsPage object at 0x7f959f4e54d0>,True,"['name', 'wappen', 'karte', 'periode', 'regierungsform', 'staatsoberhaupt', 'region-iso', 'dynastien', 'konfession/religion', 'nachfolger']",,,,,"[[lutherisch]], ab 1525","(nan, nan)",
16,Anholt,Anholt,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-NW'],<wptools.page.WPToolsPage object at 0x7f959f4ebfd0>,True,"['ortsteil', 'gemeindeart', 'gemeindename', 'ortswappen', 'breitengrad', 'längengrad', 'bundesland', 'höhe', 'fläche', 'einwohner', 'einwohner-stand-datum', 'eingemeindungsdatum', 'postleitzahl1', 'vorwahl1']",,,,,,"('6/25/34/E', '51/51/2/N')",
17,Artois,Artois,['Grafschaft'],['FR'],<wptools.page.WPToolsPage object at 0x7f959f4ebf10>,True,"['wappen', 'name', 'alternativnamen', 'vorläufer', 'regierungsform', 'staatsoberhaupt', 'region-iso', 'reichstag', 'reichsmatrikel', 'reichskreis', 'hauptstädte/residenzen', 'dynastien', 'konfession/religion', 'sprache/n', 'nachfolger', 'siehe auch', 'karte']",,,[[Grafschaft Flandern]],"Habsburger [[Burgundische Niederlande]], 1477, dann an [[Frankreich]] mit dem [[Pyrenäenfrieden]] 1659",[[römisch-katholisch]],"(nan, nan)",[[Arras]]
18,Bad Buchau,Buchau,['Reichsstadt'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f959f4ebf50>,True,"['art', 'wappen', 'breitengrad', 'längengrad', 'lageplan', 'bundesland', 'regierungsbezirk', 'landkreis', 'höhe', 'plz', 'vorwahl', 'gemeindeschlüssel', 'straße', 'website', 'bürgermeister']",,,,,,"('9/36/36/E', '48/3/58.32/N')",
19,Bad Wimpfen#Reichsstadt Wimpfen,Wimpfen,"['Freie Reichsstadt', 'Reichsstadt']",['DE-BW'],<wptools.page.WPToolsPage object at 0x7f959f473fd0>,True,"['art', 'wappen', 'breitengrad', 'längengrad', 'lageplan', 'bundesland', 'regierungsbezirk', 'landkreis', 'höhe', 'plz', 'vorwahl', 'gemeindeschlüssel', 'locode', 'gliederung', 'straße', 'website', 'bürgermeister']",,,,,,"('9/09/47.4/E', '49/13/49.5/N')",
20,Bad Windsheim#Reichsstadt Windsheim,Windsheim,"['Freie Reichsstadt', 'Reichsstadt']",['DE-BY'],<wptools.page.WPToolsPage object at 0x7f959f473e10>,True,"['art', 'wappen', 'breitengrad', 'längengrad', 'lageplan', 'bundesland', 'regierungsbezirk', 'landkreis', 'höhe', 'plz', 'vorwahl', 'gemeindeschlüssel', 'gliederung', 'straße', 'website', 'bürgermeister', 'partei']",,,,,,"('10/25//E', '49/30//N')",
21,Bartenstein (Schrozberg),Hohenlohe-Waldenburg-Bartenstein,['Grafschaft'],['DE-BW'],<wptools.page.WPToolsPage object at 0x7f959f476fd0>,True,"['ortsteil', 'gemeindeart', 'gemeindename', 'ortswappen', 'ortswappen-beschreibung', 'breitengrad', 'längengrad', 'bundesland', 'höhe', 'höhe-bezug', 'fläche', 'einwohner', 'einwohner-stand-datum', 'eingemeindungsdatum', 'eingemeindet-nach', 'postleitzahl1', 'vorwahl1', 'bild', 'bild-beschreibung']",,,,,,"('9.88355', '49.35550')",
22,Basel,Basel,"['Freie Reichsstadt', 'Reichsstadt']",['CH'],<wptools.page.WPToolsPage object at 0x7f959f476ed0>,True,"['bildpfad_karte', 'bildpfad_wappen', 'bild', 'beschreibung', 'imagemap', 'region-iso', 'bfs', 'plz', 'un/locode', 'breitengrad', 'längengrad', 'höhe', 'fläche', 'stadtpräsident', 'website']",Basler Münster mit Pfalz und der Mittleren Rheinbrücke,,,,,"('7.58769', '47.55814')",
23,Bauernrepublik Dithmarschen,Dithmarschen,['Bauernrepublik'],['DE-SH'],<wptools.page.WPToolsPage object at 0x7f959f479f50>,False,[nan],,,,,,"(nan, nan)",
24,Bergweiler,Bergweiler,"['Herrschaft (Territorium)', 'Herrschaft']",['DE-RP'],<wptools.page.WPToolsPage object at 0x7f959f476d10>,True,"['art', 'name', 'wappen', 'breitengrad', 'längengrad', 'lageplan', 'bundesland', 'landkreis', 'verbandsgemeinde', 'höhe', 'plz', 'vorwahl', 'gemeindeschlüssel', 'locode', 'adresse-verband', 'website', 'bürgermeister', 'bürgermeistertitel']",,,,,,"('06/49/31/E', '49/58/00/N')",
