,id_name,territory_name,territory_start,territory_end,territory_secular_rule,territory_start_secular_rule,territory_end_secular_rule,territory_ecclesiastical_rule,territory_start_ecclesiastical_rule,territory_end_ecclesiastical_rule,territory_religion,territory_start_religion,territory_end_religion,alliance,start_alliance,capital_name,capital_lat_long,book,region,source,table_on_wikipedia
0,Baden,Baden,1112.0,1535.0,margraviate,1112.0,1535.0,,,,Roman-catholic,1112.0,1535.0,,,Baden-Baden,"48.7656° N, 8.2285° E",SW,Baden,https://de.wikipedia.org/wiki/Markgrafschaft_Baden,y
1,Baden-Durlach,Baden-Durlach,1535.0,1771.0,margraviate,1535.0,1771.0,,,,Roman-catholic,1535.0,1556.0,,,Pforzheim,"48.8922° N,  8.6946° E",SW,Baden,https://de.wikipedia.org/wiki/Markgrafschaft_Baden-Durlach,y
2,Baden-Durlach,Baden-Durlach,1535.0,1771.0,margraviate,1535.0,1771.0,,,,lutheran,1556.0,1771.0,,,Pforzheim,"48.8922° N,  8.6946° E",SW,Baden,https://de.wikipedia.org/wiki/Markgrafschaft_Baden-Durlach,y
3,Baden-Baden,Baden-Baden,1535.0,1771.0,margraviate,1535.0,1771.0,,,,"Free, reformed",1535.0,1569.0,,,Baden-Baden,"48.7656° N, 8.2285° E",SW,Baden,https://de.wikipedia.org/wiki/Markgrafschaft_Baden-Baden,n
4,Baden-Baden,Baden-Baden,1535.0,1771.0,margraviate,1535.0,1771.0,,,,Roman-catholic,1569.0,1771.0,,,Baden-Baden,"48.7656° N, 8.2285° E",SW,Baden,https://de.wikipedia.org/wiki/Markgrafschaft_Baden-Baden,n
5,Württemberg,Württemberg,1495.0,1803.0,duchy,1495.0,1803.0,,,,Roman-catholic,1495.0,1534.0,SL,1536.0,Stuttgart,"48.7758° N, 9.1829° E",SW,Württemberg,https://de.wikipedia.org/wiki/W%C3%BCrttemberg,n
6,Württemberg,Württemberg,1495.0,1803.0,duchy,1495.0,1803.0,,,,"lutheran, reformed",1534.0,1538.0,SL,1536.0,Stuttgart,"48.7758° N, 9.1829° E",SW,Württemberg,https://de.wikipedia.org/wiki/W%C3%BCrttemberg,n
7,Württemberg,Württemberg,1495.0,1803.0,duchy,1495.0,1803.0,,,,lutheran,1538.0,1803.0,SL,1536.0,Stuttgart,"48.7758° N, 9.1829° E",SW,Württemberg,https://de.wikipedia.org/wiki/W%C3%BCrttemberg,n
8,Kurpfalz,Kurpfalz,1356.0,1777.0,electorate,1356.0,1777.0,,,,Roman-catholic,1356.0,1556.0,,,Heidelberg,"49.3988° N, 8.6724° E",SW,Kurpfalz,https://de.wikipedia.org/wiki/Kurpfalz,y
9,Kurpfalz,Kurpfalz,1356.0,1777.0,electorate,1356.0,1777.0,,,,lutheran,1556.0,1563.0,,,Heidelberg,"49.3988° N, 8.6724° E",SW,Kurpfalz,https://de.wikipedia.org/wiki/Kurpfalz,y
10,Kurpfalz,Kurpfalz,1356.0,1777.0,electorate,1356.0,1777.0,,,,calvinist,1563.0,1685.0,,,Heidelberg,"49.3988° N, 8.6724° E",SW,Kurpfalz,https://de.wikipedia.org/wiki/Kurpfalz,y
11,Kurpfalz,Kurpfalz,1356.0,1777.0,electorate,1356.0,1777.0,,,,Roman-catholic,1685.0,1777.0,,,Heidelberg,"49.3988° N, 8.6724° E",SW,Kurpfalz,https://de.wikipedia.org/wiki/Kurpfalz,y
12,Pfalz-Simmern,Pfalz-Simmern,1453.0,1685.0,principality,1453.0,1685.0,,,,Roman-catholic,1453.0,1559.0,,,Sponheim,"49.8442° N, 7.7268° E",SW,Kurpfalz,https://de.wikipedia.org/wiki/Pfalz-Simmern-Zweibr%C3%BCcken#Teilung,n
13,Pfalz-Simmern,Pfalz-Simmern,1453.0,1685.0,principality,1453.0,1685.0,,,,reformed,1559.0,1685.0,,,Sponheim,"49.8442° N, 7.7268° E",SW,Kurpfalz,https://de.wikipedia.org/wiki/Pfalz-Simmern-Zweibr%C3%BCcken#Teilung,n
14,Pfalz-Zweibrücken,Pfalz-Zweibrücken,1453.0,1801.0,principality,1453.0,1801.0,,,,Roman-catholic,1453.0,1533.0,,,Veldenz,"49.8895° N, 7.0235° E",SW,Kurpfalz,https://de.wikipedia.org/wiki/Pfalz-Zweibr%C3%BCcken,y
15,Pfalz-Zweibrücken,Pfalz-Zweibrücken,1453.0,1801.0,principality,1453.0,1801.0,,,,lutheran,1533.0,1588.0,,,Veldenz,"49.8895° N, 7.0235° E",SW,Kurpfalz,https://de.wikipedia.org/wiki/Pfalz-Zweibr%C3%BCcken,y
16,Pfalz-Zweibrücken,Pfalz-Zweibrücken,1453.0,1801.0,principality,1453.0,1801.0,,,,reformed,1588.0,1801.0,,,Veldenz,"49.8895° N, 7.0235° E",SW,Kurpfalz,https://de.wikipedia.org/wiki/Pfalz-Zweibr%C3%BCcken,y
17,Pfalz-Lautern,Pfalz-Lautern,1559.0,1592.0,principality,1559.0,1592.0,,,,reformed,1559.0,1592.0,,,Kaiserslautern,"49.4401° N, 7.7491° E",SW,Kurpfalz,https://de.wikipedia.org/wiki/Pfalz-Lautern,y
18,Oberpfalz,Oberpfalz,1329.0,1777.0,duchy,1329.0,1777.0,,,,Roman-catholic,1329.0,1556.0,,,Neuburg an der Donau,"48.7303° N, 11.1888° E",SW,Kurpfalz,https://de.wikipedia.org/wiki/Geschichte_der_Oberpfalz,n
19,Oberpfalz,Oberpfalz,1329.0,1777.0,duchy,1329.0,1777.0,,,,lutheran,1556.0,1583.0,,,Neuburg an der Donau,"48.7303° N, 11.1888° E",SW,Kurpfalz,https://de.wikipedia.org/wiki/Geschichte_der_Oberpfalz,n
20,Oberpfalz,Oberpfalz,1329.0,1777.0,duchy,1329.0,1777.0,,,,calvinist,1583.0,1777.0,,,Neuburg an der Donau,"48.7303° N, 11.1888° E",SW,Kurpfalz,https://de.wikipedia.org/wiki/Geschichte_der_Oberpfalz,n
21,Kurtrier,Kurtrier,1198.0,1799.0,electorate,1198.0,1799.0,archbishopric,,,Roman-catholic,1198.0,1799.0,,,Trier,"49.7500° N, 6.6371° E",SW,Kurtrier,https://de.wikipedia.org/wiki/Kurtrier,n
22,Prüm (Reichsabtei),Prüm (Reichsabtei),721.0,1576.0,principality,1222.0,1576.0,abbey,721.0,,Roman-catholic,721.0,1576.0,,,Prüm,"50.2082° N, 6.4197° E",SW,Kurtrier,https://de.wikipedia.org/wiki/Abtei_Pr%C3%BCm,y
23,Strasbourg (Hochstift),Strasbourg (Hochstift),1359.0,1803.0,landgraviate,1359.0,1803.0,bishopric,,,Roman-catholic,1359.0,1803.0,,,Zabern,"48.7420° N, 7.3616° E",SW,Strasbourg,https://de.wikipedia.org/wiki/Hochstift_Stra%C3%9Fburg,y
24,Strasbourg,Strasbourg,1262.0,1681.0,free city,1262.0,1681.0,,,,free,1262.0,1559.0,SL,1531.0,Strasbourg,"48.5734° N, 7.7521° E",SW,Strasbourg,https://en.wikipedia.org/wiki/Strasbourg#History,n
25,Strasbourg,Strasbourg,1262.0,1681.0,free city,1262.0,1681.0,,,,lutheran,1559.0,1583.0,SL,1531.0,Strasbourg,"48.5734° N, 7.7521° E",SW,Strasbourg,https://en.wikipedia.org/wiki/Strasbourg#History,n
26,Strasbourg,Strasbourg,1262.0,1681.0,free city,1262.0,1681.0,,,,Roman-catholic,1583.0,1681.0,SL,1531.0,Strasbourg,"48.5734° N, 7.7521° E",SW,Strasbourg,https://en.wikipedia.org/wiki/Strasbourg#History,n
27,Lothringen,Lothringen,1484.0,1766.0,duchy,1484.0,1766.0,,,,Roman-catholic,1484.0,1766.0,,,Nancy,"48.6921° N, 6.1844° E",SW,Lothringen,https://de.wikipedia.org/wiki/Herzogtum_Lothringen,n
28,Metz (Hochstift),Metz (Hochstift),,1648.0,principality,,1648.0,bishopric,,1648.0,Roman-catholic,,1648.0,,,Vic-sur-Seille,"48.7823° N, 6.5299° E",SW,Lothringen,https://de.wikipedia.org/wiki/Hochstift_Metz,y
29,Metz,Metz,1210.0,1552.0,imperial city,1210.0,1552.0,,,,Roman-catholic,1210.0,1552.0,,,Metz,"49.1193° N, 6.1757° E",SW,Lothringen,https://de.wikipedia.org/wiki/Metz#Metz_als_Freie_Reichsstadt,n
30,Metz,Metz,1552.0,,french city,1552.0,,,,,"lutheran, reformed, calvinist, free",1552.0,,,,Metz,"49.1193° N, 6.1757° E",SW,Lothringen,https://de.wikipedia.org/wiki/Metz#Metz_als_Freie_Reichsstadt,n
31,Toul (Hochstift),Toul (Hochstift),,1648.0,principality,,1648.0,bishopric,,1648.0,Roman-catholic,,1648.0,,,Liverdun,"48.7502° N, 6.0628° E",SW,Lothringen,https://de.wikipedia.org/wiki/Bistum_Toul,n
32,Toul,Toul,,1552.0,imperial city,,1552.0,,,,Roman-catholic,,1552.0,,,Toul,"48.6783° N, 5.8902° E",SW,Lothringen,https://de.wikipedia.org/wiki/Toul,n
33,Toul,Toul,1552.0,,french,1552.0,,,,,Roman-catholic,1552.0,,,,Toul,"48.6783° N, 5.8902° E",SW,Lothringen,https://de.wikipedia.org/wiki/Toul,n
34,Verdun (Hochstift),Verdun (Hochstift),,1648.0,principality,,1648.0,bishopric,,1648.0,Roman-catholic,,1648.0,,,Montmedy,"49.5195° N, 5.3666° E",SW,Lothringen,https://de.wikipedia.org/wiki/Bistum_Verdun,n
35,Verdun,Verdun,,1552.0,imperial city,,1552.0,,,,"Roman-catholic, free",,1552.0,,,Verdun,"49.1599° N, 5.3844° E",SW,Lothringen,https://de.wikipedia.org/wiki/Verdun#Geschichte,n
36,Verdun,Verdun,1552.0,,french,1552.0,,,,,"lutheran, reformed, calvinist, free",1552.0,,,,Verdun,"49.1599° N, 5.3844° E",SW,Lothringen,https://de.wikipedia.org/wiki/Verdun#Geschichte,n
37,,Baden-Hachberg,1584.0,1590.0,margraviate,1584.0,1590.0,,,,lutheran,1584.0,1590.0,,,Emmendingen,"48.1171° N, 7.8539° E",,,https://de.wikipedia.org/wiki/Markgrafschaft_Baden-Hachberg,n
38,,Baden Rötteln-Sausenberg,1584.0,1590.0,margraviate,1584.0,1590.0,,,,,1584.0,1590.0,,,Rötteln,"47.6378° N, 7.6680° E",,,,n
39,,Baden Rötteln-Sausenberg,1584.0,1590.0,margraviate,1584.0,1590.0,,,,,1584.0,1590.0,,,Rötteln,"47.6378° N, 7.6680° E",,,,n
40,Ulm,Ulm,854.0,1810.0,free imperial city,854.0,1810.0,,,,Roman-catholic,854.0,1531.0,SL,1531.0,Ulm,"48.4011° N, 9.9876° E",SW,evangl Reichsstädte,https://de.wikipedia.org/wiki/Ulm#Reichsstadt_in_der_fr%C3%BChen_Neuzeit_(1500_bis_1802),n
41,Ulm,Ulm,854.0,1810.0,free imperial city,854.0,1810.0,,,,lutheran,1531.0,1810.0,SL,1531.0,Ulm,"48.4011° N, 9.9876° E",SW,evangl Reichsstädte,https://de.wikipedia.org/wiki/Ulm#Reichsstadt_in_der_fr%C3%BChen_Neuzeit_(1500_bis_1802),n
42,Speyer,Speyer,1111.0,1792.0,free city,1111.0,1792.0,,,,Roman-catholic,1111.0,1525.0,,,Speyer,"49.3173° N, 8.4412° E",SW,evangl Reichsstädte,https://de.wikipedia.org/wiki/Speyer,n
43,Speyer,Speyer,1111.0,1792.0,free city,1111.0,1792.0,,,,lutheran,1525.0,1792.0,,,Speyer,"49.3173° N, 8.4412° E",SW,evangl Reichsstädte,https://de.wikipedia.org/wiki/Speyer,n
44,Landau,Landau,1291.0,1680.0,imperial city,1291.0,1680.0,,,,Roman-catholic,1291.0,1525.0,,,Landau,"49.1989° N, 8.1186° E",SW,evangl Reichsstädte,"https://de.wikipedia.org/wiki/Landau_in_der_Pfalz, https://www.regionalgeschichte.net/pfalz/landau/einzelaspekte/landau-in-der-reformationszeit.html",n
45,Landau,Landau,1291.0,1680.0,imperial city,1291.0,1680.0,,,,radical,1525.0,1579.0,,,Landau,"49.1989° N, 8.1186° E",SW,evangl Reichsstädte,"https://de.wikipedia.org/wiki/Landau_in_der_Pfalz, https://www.regionalgeschichte.net/pfalz/landau/einzelaspekte/landau-in-der-reformationszeit.html",n
46,Landau,Landau,1291.0,1680.0,imperial city,1291.0,1680.0,,,,"lutheran, Roman-catholic",1579.0,1680.0,,,Landau,"49.1989° N, 8.1186° E",SW,evangl Reichsstädte,"https://de.wikipedia.org/wiki/Landau_in_der_Pfalz, https://www.regionalgeschichte.net/pfalz/landau/einzelaspekte/landau-in-der-reformationszeit.html",n
47,Weissenburg,Weissenburg,1306.0,1697.0,imperial city,1306.0,1697.0,,,,Roman-catholic,1306.0,1522.0,,,Weissenburg,"49.0369° N, 7.9445° E",SW,evangl Reichsstädte,https://de.wikipedia.org/wiki/Wissembourg#Geschichte,n
48,Weissenburg,Weissenburg,1306.0,1697.0,imperial city,1306.0,1697.0,,,,"lutheran, reformed",1522.0,1697.0,,,Weissenburg,"49.0369° N, 7.9445° E",SW,evangl Reichsstädte,https://de.wikipedia.org/wiki/Wissembourg#Geschichte,n
49,Hagenau,Hagenau,1164.0,1648.0,imperial city,1164.0,1648.0,,,,Roman-catholic,1164.0,1540.0,,,Hagenau,"48.8133° N, 7.7913° E",SW,evangl Reichsstädte,https://de.wikipedia.org/wiki/Hagenau,n
50,Hagenau,Hagenau,1164.0,1648.0,imperial city,1164.0,1648.0,,,,free,1540.0,1648.0,,,Hagenau,"48.8133° N, 7.7913° E",SW,evangl Reichsstädte,https://de.wikipedia.org/wiki/Hagenau,n
51,Colmar,Colmar,1226.0,1632.0,imperial city,1226.0,1632.0,,,,Roman-catholic,1226.0,1575.0,,,Colmar,"48.0794° N, 7.3585° E",SW,evangl Reichsstädte,https://de.wikipedia.org/wiki/Colmar,n
52,Colmar,Colmar,1226.0,1632.0,imperial city,1226.0,1632.0,,,,lutheran,1575.0,1632.0,,,Colmar,"48.0794° N, 7.3585° E",SW,evangl Reichsstädte,https://de.wikipedia.org/wiki/Colmar,n
53,Münster Haut-Rhin,Münster Haut-Rhin,,1648.0,free imperial city,,1648.0,,,,Roman-catholic,,1542.0,,,Munster,"48.0414° N, 7.1372° E",SW,evangl Reichsstädte,"https://de.wikipedia.org/wiki/Reichsstadt_M%C3%Bcnster_im_Gregoriental, https://www.vallee-munster.eu/de/entdecken/geschichte-und-kulturerbe/geschichte-der-ortschaften-im-munsteral/145-die-stadt-munster",y
