book,region,id_name,territory_name,territory_name_old,capital_name,capital_lat_long,territory_secular_rule,territory_start_secular_rule,territory_end_secular_rule,territory_ecclesiastical_rule,territory_start_ecclesiastical_rule,territory_end_ecclesiastical_rule,territory_religion,territory_start_religion,territory_end_religion,alliance,start_alliance,source,table_on_wikipedia
SW,Baden,Baden,Baden,Baden,Baden-Baden,"48.7656° N, 8.2285° E",margraviate,1112,1535,,,,Roman-catholic,,,,,https://de.wikipedia.org/wiki/Markgrafschaft_Baden,y
SW,Baden,Baden-Durlach,Baden-Durlach,Baden-Durlach,Pforzheim,"48.8922° N,  8.6946° E",margraviate,1535,1771,,,,Roman-catholic,,1556,,,https://de.wikipedia.org/wiki/Markgrafschaft_Baden-Durlach,y
SW,Baden,Baden-Durlach,Baden-Durlach,Baden-Durlach,Pforzheim,"48.8922° N,  8.6946° E",margraviate,1535,1771,,,,lutheran,1556,,,,https://de.wikipedia.org/wiki/Markgrafschaft_Baden-Durlach,y
SW,Baden,Baden-Baden,Baden-Baden,Baden-Baden,Baden-Baden,"48.7656° N, 8.2285° E",margraviate,1535,1771,,,,"Free, reformed",,1569,,,https://de.wikipedia.org/wiki/Markgrafschaft_Baden-Baden,n
SW,Baden,Baden-Baden,Baden-Baden,Baden-Baden,Baden-Baden,"48.7656° N, 8.2285° E",margraviate,1535,1771,,,,Roman-catholic,1569,,,,https://de.wikipedia.org/wiki/Markgrafschaft_Baden-Baden,n
SW,Württemberg,Württemberg,Württemberg,Württemberg,Stuttgart,"48.7758° N, 9.1829° E",duchy,1495,1803,,,,Roman-catholic,,1534,SL,1536,https://de.wikipedia.org/wiki/W%C3%BCrttemberg,n
SW,Württemberg,Württemberg,Württemberg,Württemberg,Stuttgart,"48.7758° N, 9.1829° E",duchy,1495,1803,,,,"lutheran, reformed",1534,1538,SL,1536,https://de.wikipedia.org/wiki/W%C3%BCrttemberg,n
SW,Württemberg,Württemberg,Württemberg,Württemberg,Stuttgart,"48.7758° N, 9.1829° E",duchy,1495,1803,,,,lutheran,1538,,SL,1536,https://de.wikipedia.org/wiki/W%C3%BCrttemberg,n
SW,Kurpfalz,Kurpfalz,Kurpfalz,Kurpfalz,Heidelberg,"49.3988° N, 8.6724° E",electorate,1356,1777,,,,Roman-catholic,,1556,,,https://de.wikipedia.org/wiki/Kurpfalz,y
SW,Kurpfalz,Kurpfalz,Kurpfalz,Kurpfalz,Heidelberg,"49.3988° N, 8.6724° E",electorate,1356,1777,,,,lutheran,1556,1563,,,https://de.wikipedia.org/wiki/Kurpfalz,y
SW,Kurpfalz,Kurpfalz,Kurpfalz,Kurpfalz,Heidelberg,"49.3988° N, 8.6724° E",electorate,1356,1777,,,,calvinist,1563,1685,,,https://de.wikipedia.org/wiki/Kurpfalz,y
